date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:37:06	22548/22548	---M-Z	200	added ('OK')	text/html	date:Wed,%2003%20Nov%202021%2005:37:08%20GMT	https://mycourses.siu.edu/d2l/login	C:/Users/mikez/OneDrive/Desktop/Fakesite1/mycourses.siu.edu/d2l/login.html	(from )
00:37:07	156/156	---M-Z	200	added ('OK')	text/plain	etag:%220e7e4b3eacad71:0%22	https://mycourses.siu.edu/robots.txt		(from )
00:37:07	11268/11268	---M-Z	200	added ('OK')	application/javascript	etag:%225f8f65f21381d252cf7a2c0c96e111d7%22	https://s.brightspace.com/lib/bsi/20.21.10-215/unbundled/bsi-unbundled.js	C:/Users/mikez/OneDrive/Desktop/Fakesite1/s.brightspace.com/lib/bsi/20.21.10-215/unbundled/bsi-unbundled.js	(from https://mycourses.siu.edu/d2l/login)
00:37:07	960/960	---M-Z	200	added ('OK')	application/javascript	etag:%22e21579f9b3e97ff7230d80c0e243da87%22	https://s.brightspace.com/lib/bsi/20.21.10-215/unbundled/d2l-navigation.js	C:/Users/mikez/OneDrive/Desktop/Fakesite1/s.brightspace.com/lib/bsi/20.21.10-215/unbundled/d2l-navigation.js	(from https://mycourses.siu.edu/d2l/login)
00:37:07	1533/1533	---M-Z	200	added ('OK')	application/javascript	etag:%227368a8af65a287ff2dc0871fe2754b57%22	https://s.brightspace.com/lib/bsi/20.21.10-215/unbundled/d2l-navigation-main-header.js	C:/Users/mikez/OneDrive/Desktop/Fakesite1/s.brightspace.com/lib/bsi/20.21.10-215/unbundled/d2l-navigation-main-header.js	(from https://mycourses.siu.edu/d2l/login)
00:37:08	1275/1275	---M-Z	200	added ('OK')	application/javascript	etag:%225efe9cb8b60d1575e1bd9bc59795690c%22	https://s.brightspace.com/lib/bsi/20.21.10-215/unbundled/d2l-navigation-link-image.js	C:/Users/mikez/OneDrive/Desktop/Fakesite1/s.brightspace.com/lib/bsi/20.21.10-215/unbundled/d2l-navigation-link-image.js	(from https://mycourses.siu.edu/d2l/login)
00:37:08	34852/34852	---M-Z	200	added ('OK')	application/javascript	etag:%22a5a9c466aef964320617fd220fc8d4cc%22	https://s.brightspace.com/lib/bsi/20.21.10-215/unbundled/icon.js	C:/Users/mikez/OneDrive/Desktop/Fakesite1/s.brightspace.com/lib/bsi/20.21.10-215/unbundled/icon.js	(from https://mycourses.siu.edu/d2l/login)
00:37:08	1355/1355	---M--	200	added ('OK')	image/x-icon	etag:3998890	https://mycourses.siu.edu/d2l/lp/web/faviconView?variant=0&version=1	C:/Users/mikez/OneDrive/Desktop/Fakesite1/mycourses.siu.edu/d2l/lp/web/faviconfdae.ico	(from https://mycourses.siu.edu/d2l/login)
00:37:08	89360/89360	---M-Z	200	added ('OK')	text/css	etag:%223d848878229952c4320e6533354994ce%22	https://s.brightspace.com/lib/bsi/20.21.10-215/bsi.css	C:/Users/mikez/OneDrive/Desktop/Fakesite1/s.brightspace.com/lib/bsi/20.21.10-215/bsi.css	(from https://mycourses.siu.edu/d2l/login)
00:37:09	758/758	---M-Z	200	added ('OK')	text/css	etag:%22037c57e94f0ce0b9519109ea11ddf6c8%22	https://s.brightspace.com/lib/reset-css/1.1.0/reset.css	C:/Users/mikez/OneDrive/Desktop/Fakesite1/s.brightspace.com/lib/reset-css/1.1.0/reset.css	(from https://mycourses.siu.edu/d2l/login)
